"YEAR","EXPERIMENT","LOCATION","VARIETY","FAMILY","CHECK","RM","REPNO","YIELD","RM_GRP","YIELD_GRP","CLASS_ABSENT","FAM_SEGMENT1","FAM_SEGMENT2","FAM_SEGMENT3","FAM_SEGMENT4","FAM_SEGMENT5","CLASS_OF","GRAD","BAGSOLD"
2009,"09YT000052","3210","V000016","FAM05619",true,3.9,1,50.3023273,3.0,50.0,1,0,0,1,0,0,-1,-1,-1
2009,"09YT000052","3210","V000016","FAM05619",true,3.9,2,48.3313053,3.0,40.0,1,0,0,1,0,0,-1,-1,-1
2009,"09YT000052","3210","V000018","FAM05619",true,3.7,1,53.1032456,3.0,50.0,1,0,0,1,0,0,-1,-1,-1
2009,"09YT000052","3210","V000018","FAM05619",true,3.7,2,53.1032456,3.0,50.0,1,0,0,1,0,0,-1,-1,-1
2009,"09YT000052","3210","V000039","FAM05625",true,3.4,1,58.0811359,3.0,50.0,1,0,1,0,0,0,-1,-1,-1
2009,"09YT000052","3210","V000039","FAM05625",true,3.4,2,58.2893163,3.0,50.0,1,0,1,0,0,0,-1,-1,-1
2009,"09YT000052","3210","V000082","FAM13251",true,3.1,1,60.052158,3.0,60.0,1,0,0,1,0,0,-1,-1,-1
2009,"09YT000052","3210","V000082","FAM13251",true,3.1,2,59.4302934,3.0,50.0,1,0,0,1,0,0,-1,-1,-1
2009,"09YT000052","3210","V030090","FAM13986",false,3.2,1,54.4524032,3.0,50.0,1,0,0,0,1,0,-1,-1,-1
2009,"09YT000052","3210","V030090","FAM13986",false,3.2,2,53.9332905,3.0,50.0,1,0,0,0,1,0,-1,-1,-1
2009,"09YT000052","3210","V030093","FAM13986",false,3.5,1,52.4813811,3.0,50.0,1,0,0,0,1,0,-1,-1,-1
2009,"09YT000052","3210","V030093","FAM13986",false,3.5,2,50.8212913,3.0,50.0,1,0,0,0,1,0,-1,-1,-1
2009,"09YT000052","3210","V030101","FAM13986",false,3.5,1,52.2733494,3.0,50.0,1,0,0,0,1,0,-1,-1,-1
2009,"09YT000052","3210","V030101","FAM13986",false,3.5,2,47.1901794,3.0,40.0,1,0,0,0,1,0,-1,-1,-1
2009,"09YT000052","3210","V030102","FAM13986",false,3.4,1,47.5034909,3.0,40.0,1,0,0,0,1,0,-1,-1,-1
2009,"09YT000052","3210","V030102","FAM13986",false,3.4,2,54.4524032,3.0,50.0,1,0,0,0,1,0,-1,-1,-1
2009,"09YT000052","3210","V030105","FAM13986",false,3.3,1,53.6223583,3.0,50.0,1,0,0,0,1,0,-1,-1,-1
2009,"09YT000052","3210","V030105","FAM13986",false,3.3,2,50.3023273,3.0,50.0,1,0,0,0,1,0,-1,-1,-1
2009,"09YT000052","3210","V030107","FAM13991",false,3.5,1,53.9332905,3.0,50.0,1,0,0,0,1,0,-1,-1,-1
2009,"09YT000052","3210","V030107","FAM13991",false,3.5,2,52.2733494,3.0,50.0,1,0,0,0,1,0,-1,-1,-1
2009,"09YT000052","3210","V030110","FAM13991",false,3.4,1,54.9691366,3.0,50.0,1,0,0,0,1,0,-1,-1,-1
2009,"09YT000052","3210","V030110","FAM13991",false,3.4,2,53.1032456,3.0,50.0,1,0,0,0,1,0,-1,-1,-1
2009,"09YT000052","3210","V030116","FAM13991",false,3.7,1,52.4813811,3.0,50.0,1,0,0,0,1,0,-1,-1,-1
2009,"09YT000052","3210","V030116","FAM13991",false,3.7,2,57.7702036,3.0,50.0,1,0,0,0,1,0,-1,-1,-1
2009,"09YT000052","3210","V030134","FAM13991",false,3.3,1,59.7412257,3.0,50.0,1,0,0,0,1,0,-1,-1,-1
